Date: 09.03.26
Time: 16:47:26
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	A
Min	-800
Max	800
Unit	uV
SR	1000
Label	EMG
Sensor	AgAgCl
	-170.776 
	62.5874  
	218.962  
	561.146  
	574.626  
	340.218  
	358.041  
	453.32   
	396.903  
	438.473  
	496.307  
	186.313  
	-149.879 
	-64.2523 
	70.9709  
	108.351  
	466.67   
	588.039  
	263.115  
	311.572  
	371.523  
	146.376  
	55.8289  
	-127.356 
	-192.118 
	45.9109  
	61.2395  
	6.34172  
	-33.3545 
	78.5902  
	354.768  
	243.023  
	232.052  
	446.549  
	293.385  
	86.4102  
	39.0507  
	37.8307  
	124.64   
	90.0872  
	113.064  
	307.614  
	360.402  
	289.452  
	95.168   
	-22.1616 
	44.1019  
	60.2144  
	109.346  
	139.458  
	89.9744  
	95.9269  
	-38.234  
	-91.5295 
	135.724  
	259.618  
	161.516  
	-81.1867 
	-74.5457 
	150.09   
	264.421  
	327.412  
	127.301  
	-72.3118 
	-55.5896 
	-61.9484 
	-2.09796 
	88.2748  
	192.697  
	302.826  
	439.43   
	597.607  
	608.993  
	526.428  
	420.432  
	418.737  
	515.561  
	503.515  
	434.442  
	480.259  
	566.064  
	493.043  
	599.581  
	674.014  
	295.243  
	200.854  
	368.433  
	477.961  
	469.06   
	51.6012  
	33.2838  
	381.477  
	148.091  
	-118.831 
	-72.4835 
	-70.6639 
	-15.4557 
	68.064   
	174.939  
	177.902  
	23.2692  
	97.3497  
	223.122  
	212.969  
	90.5392  
	67.8312  
	289.345  
	295.995  
	120.602  
	-2.26379 
	-21.2602 
	4.14662  
	-77.1322 
	-157.843 
	-122.91  
	0.691311 
	148.402  
	233.638  
	58.9474  
	-117.462 
	-11.6763 
	-51.3873 
	-271.322 
	-199.808 
	35.0395  
	20.8754  
	-82.8503 
	-68.4742 
	-75.0283 
	-104.839 
	-92.4459 
	-55.0753 
	41.0317  
	179.788  
	223.426  
	280.154  
	430.021  
	434.186  
	524.956  
	794.024  
	800      
	800      
	602.383  
	587.076  
	529.968  
	121.882  
	126.336  
	458.572  
	525.466  
	381.788  
	388.922  
	396.555  
	99.5051  
	110.952  
	268.138  
	-50.2313 
	-296.803 
	-312.171 
	-382.683 
	-415.621 
	-306.688 
	-174.861 
	-183.459 
	-38.2301 
	156.604  
	66.8917  
	253.528  
	561.377  
	628.565  
	800      
	800      
	800      
	800      
	593.798  
	365.452  
	65.2897  
