Date: 09.03.26
Time: 16:48:27
Client: 
Session: 
Device: Neurobit Optima+ 4 USB
Signals: 1
Channel	A
Min	-800
Max	800
Unit	uV
SR	1000
Label	EMG
Sensor	AgAgCl
	126.099  
	6.90267  
	-175.799 
	38.2952  
	36.7596  
	-187.024 
	34.2866  
	152.543  
	165.597  
	213.775  
	-13.7822 
	-70.1971 
	-103.139 
	-140.092 
	18.421   
	-53.3966 
	-101.663 
	-67.9585 
	-36.1464 
	87.0478  
	20.3205  
	-54.4276 
	-48.1297 
	-92.0648 
	-83.9885 
	-56.3415 
	-50.3327 
	10.6423  
	97.6739  
	15.048   
	-34.7137 
	99.2098  
	105.584  
	188.022  
	397.016  
	322.021  
	102.285  
	-6.47245 
	52.9076  
	69.3206  
	-95.2546 
	-272.496 
	-253.103 
	39.8958  
	118.262  
	-48.9175 
	-43.4592 
	-31.6452 
	-63.8793 
	-86.8328 
	-109.816 
	-57.0466 
	-127.356 
	-213.046 
	-146.52  
	-43.8257 
	65.5288  
	88.1622  
	90.8497  
	43.4086  
	-53.1398 
	-39.8441 
	-5.96297 
	-2.31746 
	-26.1432 
	-73.876  
	-61.8339 
	-71.2054 
	-147.537 
	-173.479 
	-174.957 
	-154.846 
	-132.529 
	-37.9594 
	131.191  
	226.313  
	403.721  
	526.477  
	312.697  
	63.1233  
	242.23   
	496.074  
	249.351  
	-26.2017 
	93.0711  
	282.414  
	260.613  
	198.071  
	158.55   
	25.2465  
	35.1992  
	-12.8199 
	-282.61  
	-497.45  
	-463.755 
	-143.7   
	-116.989 
	-317.458 
	-246.443 
	-273.076 
	-372.614 
	-208.418 
	-169.317 
	-240.146 
	-172.033 
	-138.805 
	112.294  
	197.744  
	-79.9307 
	-101.927 
	-101.345 
	-90.6899 
	-52.1275 
	-185.107 
	-216.442 
	-205.399 
	-81.0325 
	199.569  
	113.824  
	-202.548 
	-240.509 
	-178.614 
	-165.862 
	-146.183 
	-161.006 
	-148.995 
	-75.5163 
	-15.0061 
	-11.9045 
	-13.2724 
	44.5595  
	148.845  
	204.664  
	173.789  
	124.484  
	34.6125  
	-1.38081 
	20.1103  
	-50.5885 
	-109.934 
	-59.6765 
	55.513   
	55.1157  
	61.5486  
	87.0676  
	-71.1262 
	-127.604 
	-21.628  
	81.5625  
	150.777  
	145.566  
	17.1652  
	-41.235  
	103.213  
	64.7981  
	-99.3051 
	-167.73  
	-180.707 
	-48.3863 
	252.715  
	509.149  
	141.348  
	-465.158 
